target,xmid,dose,K,r,x_2,y_21,B0_21,maxB1,maxB2,maxB3,minB1,minB2,minB3,sp_survival
x,30.0,98.0,0.8262686110014499,4.900749719809166e-7,7.329582238639873e-10,1.1107426755788226e-5,2.635992579106475,0.8262686110014495,0.0,0.09258698034338711,0.8262686110014495,0.0,0.0,1
x,30.0,99.0,0.8262686110014499,4.900749719809166e-7,6.967729179703269e-10,1.1107426755788226e-5,2.635992579106475,0.8262686110014497,0.0,0.09458193172684377,0.8262686110014497,0.0,0.0,1
x,30.0,100.0,0.8262686110014499,4.900749719809166e-7,6.627068924715316e-10,1.1107426755788226e-5,2.635992579106475,0.8262686110014501,0.0,0.054430144840851916,0.8262686110014498,0.0,0.0,1
x,40.0,0.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,2.635992579106475,0.33102749092027745,0.07920014385845774,0.19046866001394258,0.32887267108176804,0.07799248937520874,0.1893313740349052,3
x,40.0,1.0,0.8262686110014499,4.900749719809166e-7,2.7338159001348326e-7,1.1107426755788226e-5,2.635992579106475,0.33102749712304724,0.07920014297461594,0.19046866477616792,0.3288726771995729,0.07799248836385345,0.18933137867108174,3
x,40.0,2.0,0.8262686110014499,4.900749719809166e-7,2.733815072515043e-7,1.1107426755788226e-5,2.635992579106475,0.33102768276327194,0.07920011825087601,0.19046881205680724,0.3288728630489938,0.07799246419825547,0.1893315256151862,3
x,40.0,3.0,0.8262686110014499,4.900749719809166e-7,2.7338094393743064e-7,1.1107426755788226e-5,2.635992579106475,0.33102894778715386,0.07919994947989774,0.19046981367125443,0.32887412830266083,0.07799229892772536,0.18933252530751118,3
x,40.0,4.0,0.8262686110014499,4.900749719809166e-7,2.733788588946364e-7,1.1107426755788226e-5,2.635992579106475,0.3310336297174487,0.07919932489294809,0.190473521393881,0.32887881161223237,0.07799168709889015,0.18933622570069875,3
x,40.0,5.0,0.8262686110014499,4.900749719809166e-7,2.7337324999371137e-7,1.1107426755788226e-5,2.635992579106475,0.33104622440966586,0.07919764479314491,0.1904834950150166,0.32889141055439247,0.07799004089652782,0.18934617973311668,3
x,40.0,6.0,0.8262686110014499,4.900749719809166e-7,2.733608343448673e-7,1.1107426755788226e-5,2.635992579106475,0.3310741025391506,0.07919392566953294,0.1905055714610131,0.32891929802714953,0.07798639708402462,0.1893682131558385,3
x,40.0,7.0,0.8262686110014499,4.900749719809166e-7,2.733367296908824e-7,1.1107426755788226e-5,2.635992579106475,0.3311282260271854,0.07918670521800678,0.19054842988244985,0.3289734386224219,0.07797932273983954,0.18941098775095616,3
x,40.0,8.0,0.8262686110014499,4.900749719809166e-7,2.732941385588865e-7,1.1107426755788226e-5,2.635992579106475,0.3312238512860328,0.0791739468702518,0.19062414892692373,0.3290690950506905,0.07796682270785317,0.18948655914618417,3
x,40.0,9.0,0.8262686110014499,4.900749719809166e-7,2.732240379350219e-7,1.1107426755788226e-5,2.635992579106475,0.3313812229007714,0.07915294837090144,0.19074875119560306,0.32922651780293144,0.07794624985563714,0.1896109187041794,3
x,40.0,10.0,0.8262686110014499,4.900749719809166e-7,2.7311487893426607e-7,1.1107426755788226e-5,2.635992579106475,0.33162623364597393,0.07912025012060445,0.19094272042955582,0.32947160974797035,0.07791421455736715,0.18980451147485253,3
x,40.0,11.0,0.8262686110014499,4.900749719809166e-7,2.7295230321657167e-7,1.1107426755788226e-5,2.635992579106475,0.33199104017565867,0.07907155142078474,0.19123147600463541,0.3298365388583672,0.07786650422308448,0.1900927099718679,3
x,40.0,12.0,0.8262686110014499,4.900749719809166e-7,2.727188857907538e-7,1.1107426755788226e-5,2.635992579106475,0.3325146009011363,0.07900163339047238,0.1916457805635428,0.33036027946431057,0.07779800729917731,0.19050622133598774,3
x,40.0,13.0,0.8262686110014499,4.900749719809166e-7,2.72393917343847e-7,1.1107426755788226e-5,2.635992579106475,0.333243102294267,0.07890429286288435,0.19222204349514813,0.3310890405934619,0.07770264991478398,0.19108139340212568,3
x,40.0,14.0,0.8262686110014499,4.900749719809166e-7,2.719532432583991e-7,1.1107426755788226e-5,2.635992579106475,0.33423023146995495,0.07877229980455894,0.19300248414690063,0.33207653563987743,0.07757335163365905,0.19186037900268535,3
x,40.0,15.0,0.8262686110014499,4.900749719809166e-7,2.7136918085013866e-7,1.1107426755788226e-5,2.635992579106475,0.33553720967565526,0.0785973625073051,0.1940350952458384,0.3333840309038828,0.07740200238651075,0.1928911034653679,3
x,40.0,16.0,0.8262686110014499,4.900749719809166e-7,2.7061054074598643e-7,1.1107426755788226e-5,2.635992579106475,0.33723256174694194,0.07837014589846669,0.1953733494066547,0.3350801106368661,0.0771794737856696,0.1942269766995251,3
x,40.0,17.0,0.8262686110014499,4.900749719809166e-7,2.6964278221614455e-7,1.1107426755788226e-5,2.635992579106475,0.33939149991926193,0.0780803117072843,0.19707558061011696,0.337240077972075,0.07689567191021614,0.1959262781723058,3
x,40.0,18.0,0.8262686110014499,4.900749719809166e-7,2.684283349487292e-7,1.1107426755788226e-5,2.635992579106475,0.3420948423882989,0.0777166183012243,0.19920397279416358,0.33994490806681554,0.07653964229788938,0.1980511405302471,3
x,40.0,19.0,0.8262686110014499,4.900749719809166e-7,2.6692712026562197e-7,1.1107426755788226e-5,2.635992579106475,0.3454274170995836,0.0772670798748932,0.20182309437485402,0.343279694428889,0.07609974664004153,0.20066603775200983,3
x,40.0,20.0,0.8262686110014499,4.900749719809166e-7,2.6509730199585485e-7,1.1107426755788226e-5,2.635992579106475,0.3494758164662418,0.07671920560178708,0.20499794977690386,0.3473314990834947,0.07556391312785829,0.20383566062201747,3
x,40.0,21.0,0.8262686110014499,4.900749719809166e-7,2.6289628994249826e-7,1.1107426755788226e-5,2.635992579106475,0.35432551431826725,0.0760603227612744,0.20879154779784562,0.3521865881548959,0.07491996240073476,0.2076228930187796,3
x,40.0,22.0,0.8262686110014499,4.900749719809166e-7,2.602820060113105e-7,1.1107426755788226e-5,2.635992579106475,0.3600575032741746,0.07530345171747664,0.21326206479686924,0.3579270199771248,0.07415593873292806,0.2120864098486332,3
x,40.0,23.0,0.8262686110014499,4.900749719809166e-7,2.5721440393088433e-7,1.1107426755788226e-5,2.635992579106475,0.3667448527755592,0.07436144100568219,0.21845968991426917,0.36462675972484226,0.07326042896804537,0.21727744588908177,3
x,40.0,24.0,0.8262686110014499,4.900749719809166e-7,2.5365720817549855e-7,1.1107426755788226e-5,2.635992579106475,0.3744488965176405,0.07330328449446509,0.22442313587817678,0.3723473968714673,0.07222311522786885,0.22323561090179883,3
x,40.0,25.0,0.8262686110014499,4.900749719809166e-7,2.4957980745671654e-7,1.1107426755788226e-5,2.635992579106475,0.38321400036626485,0.072090916789429,0.2311762344986365,0.3811326809642796,0.0710356130465793,0.2299851010909558,3
x,40.0,26.0,0.8262686110014499,4.900749719809166e-7,2.449592056956181e-7,1.1107426755788226e-5,2.635992579106475,0.39285235726597717,0.07070136772484684,0.23870068544602507,0.39100531521671195,0.0697406579021382,0.237601499887876,3
