target,xmid,dose,r,x_2,y_21,B0_21,meanB1,meanB2,meanB3,maxB1,maxB2,maxB3,minB1,minB2,minB3,stabilityB1,stabilityB2,stabilityB3,sp_survival
y,8.0,10.0,4.900749719809166e-7,2.7338159268322533e-7,1.0690307605211464e-5,2.635992579106475,0.3292678495502291,0.08176566312402538,0.18701623384004068,0.32926784955022836,0.08176566312402556,0.18701623384004137,0.32926784955022836,0.08176566312402556,0.18701623384004137,-2.193310284721843e-15,-2.208098525879136e-15,-3.713100945313084e-15,3
y,8.0,11.0,4.900749719809166e-7,2.7338159268322533e-7,1.025011250835877e-5,2.635992579106475,0.3284711556021034,0.08539087244511512,0.1837243420362238,0.3284711556021042,0.08539087244511548,0.18372434203622473,0.3284711556021042,0.08539087244511548,0.18372434203622473,-2.536880853556084e-15,-4.22871051768997e-15,-5.1402976865845675e-15,3
y,8.0,12.0,4.900749719809166e-7,2.7338159268322533e-7,9.511638602335086e-6,2.635992579106475,0.32696178816551946,0.09225255259144653,0.1774877259490328,0.32696178816551946,0.09225255259144632,0.17748772594903223,0.32696178816551946,0.09225255259144632,0.17748772594903223,-0.0,-2.258181920674785e-15,-3.2864499603887727e-15,3
y,8.0,13.0,4.900749719809166e-7,2.7338159268322533e-7,8.425661530252999e-6,2.635992579106475,0.32423777856104113,0.10461480707602153,0.16623228097970816,0.32423777856103975,0.10461480707602107,0.16623228097970805,0.32423777856103975,0.10461480707602107,0.16623228097970805,-4.283338960327955e-15,-4.380935308161342e-15,-6.68375745618375e-16,3
y,8.0,14.0,4.900749719809166e-7,2.7338159268322533e-7,7.0486203781417965e-6,2.635992579106475,0.319504653998365,0.12602985123757526,0.14667529301588894,0.3195046539983648,0.12602985123757482,0.1466752930158889,0.3195046539983648,0.12602985123757482,0.1466752930158889,-5.216150532797446e-16,-3.5263272519845677e-15,-1.8937344944253816e-16,3
y,8.0,15.0,4.900749719809166e-7,2.7338159268322533e-7,5.553713377894113e-6,2.635992579106475,0.31150444466265975,0.16203897565691022,0.11361890592642866,0.3115044446626597,0.16203897565690992,0.11361890592642804,0.3115044446626597,0.16203897565690992,0.11361890592642804,-1.7833714197236617e-16,-1.8855986148510508e-15,-5.500573466171181e-15,3
y,8.0,16.0,4.900749719809166e-7,2.7338159268322533e-7,4.151022116266415e-6,2.635992579106475,0.2982015164888437,0.22139314348677722,0.058652001351248276,0.2982015164888417,0.22139314348677636,0.05865200135124806,0.2982015164888417,0.22139314348677636,0.05865200135124806,-6.706542840457426e-15,-3.889319146102006e-15,-3.67024386185121e-15,3
y,8.0,17.0,4.900749719809166e-7,2.7338159268322533e-7,2.984397757765415e-6,2.635992579106475,0.3183907833900717,0.2982020785140995,0.0,0.3183907833900713,0.2982020785140992,0.0,0.3183907833900713,0.2982020785140992,0.0,-1.2213597468786555e-15,-1.1177550334251182e-15,NaN,2
y,8.0,18.0,4.900749719809166e-7,2.7338159268322533e-7,2.0958132780095537e-6,2.635992579106475,0.477853663633912,0.30703128051165973,0.0,0.4778536636339138,0.30703128051165907,0.0,0.4778536636339138,0.30703128051165907,0.0,-3.72015562758643e-15,-2.171224206742082e-15,NaN,2
y,8.0,19.0,4.900749719809166e-7,2.7338159268322533e-7,1.4563828501433402e-6,2.635992579106475,0.7471219318495419,0.10904734801339878,0.0,0.7471219318495427,0.10904734801339898,0.0,0.7471219318495427,0.10904734801339898,0.0,-1.0409805147792309e-15,-1.783031379002513e-15,NaN,2
y,8.0,20.0,4.900749719809166e-7,2.7338159268322533e-7,1.010802487547701e-6,2.635992579106475,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
