target,slope,dose,K,r,x_2,y_21,B0_21,maxB1,maxB2,maxB3,minB1,minB2,minB3,sp_survival
x,4.0,21.0,0.8262686110014499,4.900749719809166e-7,2.6513150620975654e-7,1.1107426755788226e-5,2.635992579106475,0.3494002789206357,0.07672944599427872,0.20493877912444058,0.3472558897143833,0.07557392547656552,0.20377658912049176,3
x,4.0,22.0,0.8262686110014499,4.900749719809166e-7,2.6350516609309665e-7,1.1107426755788226e-5,2.635992579106475,0.3529861050340836,0.07624257537371132,0.20774485271425902,0.3508455318953821,0.07509803612725845,0.20657794301988058,3
x,4.0,23.0,0.8262686110014499,4.900749719809166e-7,2.616656292657292e-7,1.1107426755788226e-5,2.635992579106475,0.35702763429470497,0.07569200510975592,0.21090076797897608,0.35489241112280673,0.07456019315534675,0.20972869496459015,3
x,4.0,24.0,0.8262686110014499,4.900749719809166e-7,2.5960089712414374e-7,1.1107426755788226e-5,2.635992579106475,0.36154587383774617,0.07507426707923805,0.21442055882364433,0.3594179352679975,0.07395702215714127,0.21324326895539455,3
x,4.0,25.0,0.8262686110014499,4.900749719809166e-7,2.5730032252538855e-7,1.1107426755788226e-5,2.635992579106475,0.3665581068946336,0.07438699828840455,0.21831481075972942,0.36443963767466514,0.07328549822358811,0.21713272351579735,3
x,4.0,26.0,0.8262686110014499,4.900749719809166e-7,2.54754893154554e-7,1.1107426755788226e-5,2.635992579106475,0.3720772991037779,0.07362981496421676,0.22259014931097462,0.36997048801691834,0.072543082882142,0.2214040265792449,3
x,4.0,27.0,0.8262686110014499,4.900749719809166e-7,2.519575049418196e-7,1.1107426755788226e-5,2.635992579106475,0.3781111602798647,0.07279777504542718,0.22724881710564987,0.3760180818024212,0.07172789510806878,0.2260594828565417,3
x,4.0,28.0,0.8262686110014499,4.900749719809166e-7,2.4890321587420526e-7,1.1107426755788226e-5,2.635992579106475,0.38466176346709924,0.07188983761572329,0.23228845609015125,0.38258373916760335,0.07083872211522803,0.23109695667198416,3
x,4.0,29.0,0.8262686110014499,4.900749719809166e-7,2.455894701206058e-7,1.1107426755788226e-5,2.635992579106475,0.39148227419884596,0.0708923255227799,0.23766239376414225,0.38966713373422057,0.06993969826805388,0.23656225404393888,3
x,4.0,30.0,0.8262686110014499,4.900749719809166e-7,2.420162824745267e-7,1.1107426755788226e-5,2.635992579106475,0.3992917439760661,0.06984476878974502,0.24347917873246872,0.39724905045941744,0.06883730021480072,0.2422855576607428,3
x,4.0,31.0,0.8262686110014499,4.900749719809166e-7,2.3818637378633985e-7,1.1107426755788226e-5,2.635992579106475,0.4073441451997976,0.06870921482958911,0.2496027991090262,0.4053246885209312,0.06772631682895953,0.24840799864937527,3
x,4.0,32.0,0.8262686110014499,4.900749719809166e-7,2.3410524933496047e-7,1.1107426755788226e-5,2.635992579106475,0.4158612724314723,0.06750016937176734,0.2560516700136405,0.4138689307773067,0.06654313993727735,0.25485680434066205,3
x,4.0,33.0,0.8262686110014499,4.900749719809166e-7,2.2978121395724325e-7,1.1107426755788226e-5,2.635992579106475,0.42481683943854126,0.06621932565979585,0.2627998235999385,0.4228533384784312,0.06528986665577355,0.26160724726083784,3
x,4.0,34.0,0.8262686110014499,4.900749719809166e-7,2.2522532013743634e-7,1.1107426755788226e-5,2.635992579106475,0.4341782023942722,0.06487037059146274,0.26981823263298865,0.4322435708915367,0.06396991076830802,0.2686298701511136,3
x,4.0,35.0,0.8262686110014499,4.900749719809166e-7,2.2045124803098568e-7,1.1107426755788226e-5,2.635992579106475,0.4439079359822047,0.06345783637218554,0.2770750584554078,0.4420031358373151,0.06258722021715253,0.27589201605159275,3
x,4.0,36.0,0.8262686110014499,4.900749719809166e-7,2.1547511938411117e-7,1.1107426755788226e-5,2.635992579106475,0.45396479305285126,0.061987103621114925,0.2845353744211166,0.45209194266244984,0.061146450762735095,0.283358428159074,3
x,4.0,37.0,0.8262686110014499,4.900749719809166e-7,2.1031525030955917e-7,1.1107426755788226e-5,2.635992579106475,0.4643038842087775,0.0604641618900057,0.29216206650619825,0.46246588650264087,0.059653329259938145,0.29099214645178806,3
x,4.0,38.0,0.8262686110014499,4.900749719809166e-7,2.0499185067528092e-7,1.1107426755788226e-5,2.635992579106475,0.474877632893108,0.058895417372852074,0.29991651601164404,0.47307786934629004,0.0581137995345512,0.29875516779731576,3
x,4.0,39.0,0.8262686110014499,4.900749719809166e-7,1.9952668025273466e-7,1.1107426755788226e-5,2.635992579106475,0.48563625508883046,0.05728718176641726,0.30776193552582365,0.48387687230353177,0.05653520341179829,0.3066096010171982,3
x,4.0,40.0,0.8262686110014499,4.900749719809166e-7,1.9394267358344586e-7,1.1107426755788226e-5,2.635992579106475,0.4965286175734453,0.05564668269916029,0.3156601021138981,0.49480946275682813,0.05492459274975023,0.3145167786978934,3
